date,open,high,low,close,volume,day_diff
2014-01-02,398.8,399.36,394.02,397.97,2140246,-0.8299999999999841
2014-01-03,398.29,402.71,396.22,396.44,2213512,-1.8500000000000227
2014-01-06,395.85,397.0,388.42,393.63,3172207,-2.2200000000000273
2014-01-07,395.04,398.47,394.29,398.03,1916684,2.9899999999999523
2014-01-08,398.47,403.0,396.04,401.92,2316903,3.4499999999999886
2014-01-09,403.71,406.89,398.44,401.01,2103793,-2.6999999999999886
2014-01-10,402.53,403.764,393.8,397.66,2681701,-4.869999999999948
2014-01-13,397.98,399.78,388.45,390.98,2846507,-7.0
2014-01-14,392.13,398.63,391.29,397.54,2340401,5.410000000000025
2014-01-15,398.94,399.31,392.534,395.87,2678794,-3.069999999999993
2014-01-16,393.68,399.29,389.41,395.8,2602506,2.1200000000000045
2014-01-17,394.26,403.49,393.66,399.61,4508791,5.350000000000023
2014-01-21,403.0,407.8,401.6,407.05,3122705,4.050000000000011
2014-01-22,408.0,408.06,402.0,404.54,2069759,-3.4599999999999795
2014-01-23,401.0,406.17,397.79,399.87,3026272,-1.1299999999999955
2014-01-24,398.16,400.2,387.27,387.6,4513038,-10.560000000000002
2014-01-27,390.5,394.1,380.49,386.28,3944752,-4.220000000000027
2014-01-28,387.4,394.74,387.12,394.43,2901611,7.03000000000003
2014-01-29,392.16,392.85,383.24,384.2,3399294,-7.960000000000036
2014-01-30,393.77,406.25,387.7,403.01,10900116,9.240000000000009
2014-01-31,371.76,375.45,357.76,358.69,16181519,-13.069999999999993
2014-02-03,358.98,360.85,340.1,346.15,10290934,-12.830000000000041
2014-02-04,349.59,353.9975,344.02,347.95,4821177,-1.6399999999999864
2014-02-05,346.0,349.37,337.73,346.45,4439010,0.44999999999998863
2014-02-06,347.403,354.82,347.403,354.59,3340542,7.186999999999955
2014-02-07,358.98,361.8,352.49,361.08,4347189,2.099999999999966
2014-02-10,361.61,365.0,359.35,360.87,3451093,-0.7400000000000091
2014-02-11,361.842,363.61,356.25,361.79,3225200,-0.051999999999964075
2014-02-12,356.43,357.75,346.32,349.25,6599199,-7.180000000000007
2014-02-13,347.7,357.2,346.5,357.2,4181445,9.5
2014-02-14,359.34,359.34,353.35,357.35,3524570,-1.9899999999999523
2014-02-18,355.28,355.73,349.45,353.65,5000493,-1.6299999999999955
2014-02-19,352.64,354.54,346.1,347.38,4175393,-5.259999999999991
2014-02-20,348.8,350.46,344.38,349.8,3496663,1.0
2014-02-21,352.44,354.141,346.75,346.76,4212144,-5.680000000000007
2014-02-24,345.19,353.0,343.29,351.78,3647182,6.589999999999975
2014-02-25,353.0,361.08,351.58,358.32,3747076,5.319999999999993
2014-02-26,359.86,364.75,357.17,359.8,3622506,-0.060000000000002274
2014-02-27,357.22,360.59,355.5,360.13,3105442,2.909999999999968
2014-02-28,360.6,365.865,357.084,362.1,3885207,1.5
2014-03-03,358.735,360.96,354.48,359.78,2798230,1.044999999999959
2014-03-04,363.9,365.68,362.46,363.9,2706843,0.0
2014-03-05,364.13,372.728,363.9,372.37,3862706,8.240000000000009
2014-03-06,374.05,375.33,368.9,372.16,2927497,-1.8899999999999864
2014-03-07,374.58,374.99,369.531,372.06,2280358,-2.519999999999982
2014-03-10,372.69,372.73,367.0,370.53,2107820,-2.160000000000025
2014-03-11,370.99,372.8,367.28,368.82,2248019,-2.170000000000016
2014-03-12,366.4,371.16,363.61,370.64,2219663,4.240000000000009
2014-03-13,376.62,383.11,368.08,371.51,6829047,-5.110000000000014
2014-03-14,372.8,378.568,371.55,373.74,4402220,0.9399999999999977
2014-03-17,375.72,378.85,374.88,375.04,2306821,-0.6800000000000068
2014-03-18,377.32,379.0,375.0,378.77,2483508,1.4499999999999886
2014-03-19,378.77,379.0,369.42,373.23,2646687,-5.539999999999964
2014-03-20,370.64,373.0,366.22,368.97,2558460,-1.669999999999959
2014-03-21,371.0,372.84,358.4,360.62,5417935,-10.379999999999995
2014-03-24,360.09,361.5,348.6,351.85,4879627,-8.239999999999952
2014-03-25,354.03,358.97,348.84,354.71,4455703,0.6800000000000068
2014-03-26,357.13,357.6,343.4,343.41,4120665,-13.71999999999997
2014-03-27,343.15,343.9999,330.88,338.47,5770462,-4.67999999999995
2014-03-28,340.05,347.0,336.08,338.29,3986782,-1.759999999999991
2014-03-31,342.4,346.29,334.06,336.365,4297487,-6.034999999999968
2014-04-01,338.09,344.43,338.0,342.99,3602899,4.900000000000034
2014-04-02,345.99,348.295,340.38,341.96,4465927,-4.03000000000003
2014-04-03,341.82,342.5,328.46,333.62,6399299,-8.199999999999989
2014-04-04,335.15,335.44,315.61,323.0,12534578,-12.149999999999977
2014-04-07,320.99,324.94,313.13,317.76,7077360,-3.230000000000018
2014-04-08,321.88,328.0,318.44,327.07,6585583,5.189999999999998
2014-04-09,328.47,332.18,322.5,331.805,5058664,3.3349999999999795
2014-04-10,330.6,331.0,316.5,317.11,6133376,-13.490000000000009
2014-04-11,314.0,316.5,309.5,311.73,7292028,-2.269999999999982
2014-04-14,317.67,320.48,311.28,315.91,4293532,-1.759999999999991
2014-04-15,316.7,318.28,305.5,316.08,5399337,-0.6200000000000045
2014-04-16,321.17,324.0,314.71,323.68,4285901,2.509999999999991
2014-04-17,319.76,328.66,319.76,324.91,4300378,5.150000000000034
2014-04-21,323.97,331.1499,322.31,330.87,3000598,6.899999999999977
2014-04-22,332.0,337.5,328.94,329.32,3714288,-2.680000000000007
2014-04-23,333.06,333.13,323.39,324.58,3604586,-8.480000000000018
2014-04-24,329.67,337.4,322.95,337.15,9293735,7.479999999999961
2014-04-25,316.25,316.49,302.71,303.83,16186737,-12.420000000000016
2014-04-28,304.0,304.39,288.0,296.58,14479803,-7.420000000000016
2014-04-29,296.44,301.84,290.45,300.38,6510591,3.9399999999999977
2014-04-30,298.1,304.56,298.1,304.13,4090006,6.029999999999973
2014-05-01,304.13,310.48,304.0,307.89,4329167,3.759999999999991
2014-05-02,310.42,313.29,304.31,308.01,3995218,-2.410000000000025
2014-05-05,306.37,310.23,305.0,310.05,2520300,3.680000000000007
2014-05-06,309.53,309.81,297.04,297.38,4682327,-12.149999999999977
2014-05-07,295.56,296.4,286.68,292.71,7016937,-2.8500000000000227
2014-05-08,290.82,295.8784,287.23,288.32,3848996,-2.5
2014-05-09,290.57,293.68,284.38,292.24,4062984,1.670000000000016
2014-05-12,294.3,303.34,294.16,302.86,3735443,8.560000000000002
2014-05-13,302.6,305.6,300.75,304.64,3509937,2.0399999999999636
2014-05-14,302.5,304.64,296.66,297.62,3328414,-4.8799999999999955
2014-05-15,298.02,299.2,290.38,295.19,4299530,-2.829999999999984
2014-05-16,292.8,298.88,291.55,297.7,3637649,4.899999999999977
2014-05-19,295.76,299.0,293.81,296.755,2286313,0.9950000000000045
2014-05-20,297.1,304.46,296.75,301.19,4096308,4.089999999999975
2014-05-21,302.21,305.96,301.5201,305.01,3409200,2.8000000000000114
2014-05-22,305.05,308.54,303.01,304.91,2576888,-0.13999999999998636
2014-05-23,305.46,312.35,304.9,312.24,3055997,6.78000000000003
2014-05-27,314.41,314.6296,307.38,310.82,4864163,-3.590000000000032
2014-05-28,309.5,313.82,307.42,310.16,2726803,0.660000000000025
2014-05-29,310.42,314.87,310.2,313.78,2365679,3.359999999999957
2014-05-30,314.43,314.65,307.57,312.55,4260624,-1.8799999999999955
2014-06-02,312.59,312.6,307.0,308.84,2205909,-3.75
2014-06-03,305.75,307.92,305.07,307.19,2379273,1.4399999999999977
2014-06-04,306.85,309.5,303.84,306.78,2111176,-0.07000000000005002
2014-06-05,308.1,327.94,306.9,323.57,7803760,15.46999999999997
2014-06-06,325.0,330.88,324.93,329.67,5246723,4.670000000000016
2014-06-09,331.57,333.0,325.65,327.5,3212755,-4.069999999999993
2014-06-10,327.65,335.5,327.5,332.41,3668904,4.760000000000048
2014-06-11,336.0,340.7199,333.8772,335.2,4439178,-0.8000000000000114
2014-06-12,335.55,335.55,324.66,325.91,4276316,-9.639999999999986
2014-06-13,327.05,329.298,323.5262,326.27,2766909,-0.7800000000000296
2014-06-16,324.86,328.6945,323.52,327.62,2449843,2.759999999999991
2014-06-17,327.54,331.34,325.23,325.62,2924058,-1.920000000000016
2014-06-18,328.0,335.75,325.0,334.38,6409334,6.3799999999999955
2014-06-19,335.255,338.9,325.98,327.0,5327002,-8.254999999999995
2014-06-20,327.76,328.22,320.42,324.2,6056210,-3.5600000000000023
2014-06-23,323.33,327.55,321.41,327.24,2609628,3.910000000000025
2014-06-24,327.54,329.73,322.738,324.16,2627978,-3.3799999999999955
2014-06-25,324.33,328.15,321.74,327.44,2328006,3.1100000000000136
2014-06-26,328.49,328.65,322.13,325.69,2699908,-2.8000000000000114
2014-06-27,325.88,326.52,323.27,324.57,2419626,-1.3100000000000023
2014-06-30,324.98,326.98,322.24,324.78,2672165,-0.20000000000004547
2014-07-01,325.86,333.2,325.1,332.39,3178548,6.529999999999973
2014-07-02,333.2,336.76,331.66,332.85,2681578,-0.3499999999999659
2014-07-03,334.83,338.3,333.08,337.492,1944300,2.6620000000000346
2014-07-07,337.5,337.55,332.52,333.55,2130028,-3.9499999999999886
2014-07-08,333.1,333.7397,321.4,323.81,4275447,-9.29000000000002
2014-07-09,324.71,330.2,323.15,329.97,3167133,5.260000000000048
2014-07-10,324.34,329.98,322.65,327.92,2665753,3.580000000000041
2014-07-11,334.71,347.0,334.71,346.2,8309079,11.490000000000009
2014-07-14,347.03,355.77,345.356,355.32,5615482,8.29000000000002
2014-07-15,353.72,355.59,349.4,354.44,4176758,0.7199999999999704
2014-07-16,355.62,359.32,353.0,355.9,3505023,0.2799999999999727
2014-07-17,353.44,356.96,351.38,352.454,3640290,-0.98599999999999
2014-07-18,354.4,359.68,352.08,358.66,3410032,4.260000000000048
2014-07-21,358.1,361.71,356.72,359.76,2282741,1.6599999999999682
2014-07-22,355.25,362.93,355.25,360.84,2889366,5.589999999999975
2014-07-23,359.05,360.63,356.62,358.14,2688761,-0.910000000000025
2014-07-24,359.98,364.85,358.52,358.61,7088655,-1.3700000000000045
2014-07-25,317.3,324.87,314.76,324.01,17855141,6.7099999999999795
2014-07-28,324.25,324.82,316.5,320.41,5933999,-3.839999999999975
2014-07-29,321.98,322.8999,319.5,320.0,2885644,-1.9800000000000182
2014-07-30,321.45,322.73,318.5,322.51,3973213,1.0600000000000023
2014-07-31,320.01,320.6836,311.86,312.99,5193770,-7.019999999999982
2014-08-01,313.69,315.83,304.588,307.06,7443091,-6.6299999999999955
2014-08-04,308.84,316.18,308.5,313.65,4208660,4.810000000000002
2014-08-05,313.3,314.55,310.06,312.32,2856294,-0.9800000000000182
2014-08-06,310.83,315.78,310.2,313.89,2297476,3.0600000000000023
2014-08-07,315.21,315.8774,309.655,311.45,2936913,-3.759999999999991
2014-08-08,311.94,317.32,310.66,316.8,2708416,4.860000000000014
2014-08-11,318.48,320.38,316.88,318.33,2472819,-0.1500000000000341
2014-08-12,318.89,321.31,316.95,319.32,1916143,0.4300000000000068
2014-08-13,327.6,331.72,326.14,326.28,4938152,-1.32000000000005
2014-08-14,327.8,334.09,326.71,333.21,3420646,5.409999999999968
2014-08-15,334.0,335.0,328.32,333.63,3897928,-0.37000000000000455
2014-08-18,335.48,337.8,333.77,334.53,2488186,-0.9500000000000455
2014-08-19,334.87,335.81,333.01,335.13,1714120,0.2599999999999909
2014-08-20,334.68,337.16,334.022,335.78,1811462,1.099999999999966
2014-08-21,336.48,336.582,332.23,332.91,1975792,-3.569999999999993
2014-08-22,332.99,334.08,330.8,331.59,2212965,-1.400000000000034
2014-08-25,333.21,336.77,332.71,334.02,1960978,0.8100000000000023
2014-08-26,337.0,344.36,334.55,341.83,3654702,4.829999999999984
2014-08-27,342.09,346.67,341.34,343.18,2961767,1.0900000000000318
2014-08-28,340.0,341.79,338.8,340.02,2254725,0.01999999999998181
2014-08-29,341.76,341.8199,337.68,339.04,1939848,-2.7199999999999704
2014-09-02,339.98,342.5,337.1587,342.38,2328881,2.3999999999999773
2014-09-03,342.54,343.27,337.55,339.0,1998540,-3.5400000000000205
2014-09-04,343.69,349.38,343.58,345.95,3965557,2.259999999999991
2014-09-05,346.3,346.827,342.5,346.38,2111220,0.07999999999998408
2014-09-08,344.54,345.81,339.04,342.34,2960693,-2.2000000000000455
2014-09-09,341.61,341.76,329.18,329.75,4646832,-11.860000000000014
2014-09-10,334.3,334.98,328.82,331.33,3798904,-2.9700000000000273
2014-09-11,329.94,333.01,326.39,330.52,2721893,0.5799999999999841
2014-09-12,329.56,332.89,328.79,331.19,3429727,1.6299999999999955
2014-09-15,330.91,331.33,319.0,323.89,4006918,-7.020000000000039
2014-09-16,321.07,329.48,320.1,327.76,3265860,6.689999999999998
2014-09-17,327.76,328.0,321.52,324.0,4138950,-3.759999999999991
2014-09-18,325.44,327.1,323.7105,325.0,2577706,-0.4399999999999977
2014-09-19,327.6,332.7559,325.57,331.32,6886382,3.7199999999999704
2014-09-22,328.49,329.49,321.06,324.5,3118649,-3.990000000000009
2014-09-23,322.46,327.6,321.25,323.63,2353590,1.170000000000016
2014-09-24,324.17,329.44,319.56,328.21,2647232,4.039999999999964
2014-09-25,327.99,328.54,321.4,321.93,2934944,-6.060000000000002
2014-09-26,320.6,323.5,317.64,323.21,3639155,2.609999999999957
2014-09-29,320.5,323.75,319.0,321.82,1929589,1.3199999999999932
2014-09-30,321.36,323.43,318.51,322.44,2639967,1.079999999999984
2014-10-01,322.04,322.165,315.55,317.46,3096735,-4.580000000000041
2014-10-02,316.92,318.53,311.31,318.41,3553944,1.490000000000009
2014-10-03,320.36,325.16,319.53,322.74,3037891,2.3799999999999955
2014-10-06,323.5,324.13,319.6,322.2,2294194,-1.3000000000000114
2014-10-07,319.43,322.0,316.67,316.98,2365698,-2.4499999999999886
2014-10-08,316.58,324.11,314.14,322.7,3458960,6.1200000000000045
2014-10-09,321.49,322.271,314.52,315.37,3589464,-6.1200000000000045
2014-10-10,314.02,317.77,311.38,311.39,3684314,-2.6299999999999955
2014-10-13,309.87,313.2,303.47,306.45,4369850,-3.420000000000016
2014-10-14,308.0,312.24,305.75,308.31,3385809,0.3100000000000023
2014-10-15,304.35,307.9,299.102,305.97,5348254,1.6200000000000045
2014-10-16,293.83,306.82,293.83,302.86,4731866,9.03000000000003
2014-10-17,307.15,309.2,302.72,303.64,4409218,-3.509999999999991
2014-10-20,302.95,306.53,302.02,306.21,3239490,3.259999999999991
2014-10-21,309.9,315.64,307.07,315.33,3563351,5.430000000000007
2014-10-22,315.43,318.98,312.64,312.97,3130049,-2.4599999999999795
2014-10-23,313.4,316.8,311.4,313.18,9038193,-0.21999999999997044
2014-10-24,284.4,293.81,284.0,287.06,19805911,2.660000000000025
2014-10-27,285.7,290.42,285.02,289.97,5950594,4.270000000000039
2014-10-28,289.76,298.0,289.76,295.59,5576646,5.829999999999984
2014-10-29,299.11,299.61,293.0701,294.12,4883259,-4.990000000000009
2014-10-30,293.98,299.74,292.36,299.07,4055155,5.089999999999975
2014-10-31,305.15,305.72,301.5,305.46,4551795,0.3100000000000023
2014-11-03,306.24,308.01,303.24,305.72,3244150,-0.5199999999999818
2014-11-04,303.99,304.25,300.17,302.81,3427384,-1.1800000000000068
2014-11-05,303.01,304.0,294.16,296.52,4674492,-6.490000000000009
2014-11-06,296.69,297.0,292.29,296.64,3758121,-0.05000000000001137
2014-11-07,297.82,299.99,296.29,299.86,2647352,2.0400000000000205
2014-11-10,300.0,305.799,300.0,305.11,2809056,5.110000000000014
2014-11-11,305.94,312.38,303.646,312.01,3807333,6.069999999999993
2014-11-12,310.75,312.58,308.79,311.51,2182982,0.7599999999999909
2014-11-13,312.0,317.89,311.51,316.48,3686428,4.480000000000018
2014-11-14,317.12,332.88,316.401,327.82,8877785,10.699999999999989
2014-11-17,326.44,328.0,318.03,323.05,4784933,-3.3899999999999864
2014-11-18,323.99,329.56,323.25,324.93,3551161,0.9399999999999977
2014-11-19,327.25,328.4,324.02,326.54,3281614,-0.7099999999999795
2014-11-20,324.0,332.67,323.33,330.54,3436721,6.5400000000000205
2014-11-21,335.42,338.33,331.47,332.63,4466587,-2.7900000000000205
2014-11-24,334.78,337.39,333.6,335.64,2754186,0.8600000000000136
2014-11-25,335.27,336.3325,331.28,335.04,2564989,-0.22999999999996135
2014-11-26,333.78,334.65,331.75,333.57,1985949,-0.20999999999997954
